item,category
22297,4280
59952,4280
34868,4280
69045,6512
53904,4521
23845,4280
45258,1665
19442,4280
81304,6177
84767,6511
55781,6261
54090,6511
55090,1665
61647,6261
77660,1665
82182,4280
64760,7146
66848,6261
52011,6261
49152,6261
41202,4282
68671,5954
62093,4281
23329,4521
50344,1665
6418,10949
19003,7607
66232,4288
33560,4702
85376,1665
33078,4288
31852,4702
21155,10949
44983,4288
20153,4288
35111,4288
1778,10945
60898,1101
45783,4282
24862,6426
83857,4284
47806,4284
78804,6261
76999,4284
57802,4282
59986,12399
36061,4282
51979,6423
53143,4520
65782,4281
39759,6426
75180,6426
24568,6426
39889,6423
20065,6423
47744,6261
65104,4284
66260,6426
34490,6423
70357,4280
56855,6426
41509,6426
59026,6515
70756,6427
53533,1665
50550,6261
74928,6261
56546,6261
82721,6426
72112,6426
72729,6515
30087,6426
58230,6261
68150,6183
46547,6515
30731,4284
66373,6426
85090,1665
74105,4281
42495,6423
76733,4282
38080,6407
75132,1665
73143,1665
25475,4283
64694,4282
47433,1665
66134,4281
76049,4520
58115,6244
65945,1665
66801,1665
72739,1665
59921,4520
48774,6423
63450,4520
73145,4282
29427,4505
71608,4521
73312,1665
56082,5166
36599,5166
61711,4521
81556,4282
68369,4521
46334,4280
26498,7146
59240,4280
48597,6512
59500,6512
55838,7086
59581,4280
46885,6512
28939,7086
14609,7086
58590,6512
55714,6261
83695,6261
71243,6261
80027,6261
78071,6261
59777,6261
48283,4292
66411,4292
51876,6261
64451,6261
52683,4281
34707,4292
60515,4292
71437,4282
47356,6261
75485,4282
72517,4521
75148,4282
57278,1665
21559,6261
48702,4282
71610,6261
71367,6261
65650,6261
73993,4282
69286,1665
63708,4282
69650,6261
29897,4292
65934,6261
55926,4282
60100,6261
20014,6261
54038,4282
73161,4282
27887,4301
46345,4282
47829,4521
59534,6261
46924,6261
65274,1665
64086,4282
52625,5166
57685,6261
40178,6261
55299,6261
31819,6300
33774,6261
22305,6261
24968,6423
39517,6261
64470,4526
50602,5166
9629,6261
3792,6261
60194,6261
84585,6261
33504,6261
64345,6261
9806,6261
69368,4526
35454,5166
7424,4526
61495,4526
14069,6261
27670,4526
9706,4526
29269,4526
15981,6300
34758,6261
76880,6261
43826,4521
51047,6261
40070,6423
52418,6261
62456,6300
60117,6261
80997,4283
24266,6261
29590,7214
75692,6261
50693,6300
71325,856
8805,4756
34631,856
58719,4281
36918,856
969,4756
23707,856
28981,7146
76312,7146
48483,7146
66448,4281
61631,4288
28244,5920
67023,4284
76045,5920
46947,367
71852,4288
57897,4284
76301,4284
59459,5920
61319,4284
55274,591
56982,6261
43476,4287
73751,6261
62804,4288
79636,6261
65766,4281
57664,7339
48763,6261
24643,771
55363,4287
73867,6261
55784,1665
52367,4281
74269,4287
27946,6152
70339,6261
60526,4287
73067,6261
57387,4287
76512,6261
65269,4287
80531,4505
41902,4281
54407,5472
77806,7188
51779,5472
37766,5472
35659,5472
44727,5472
10514,7186
20442,5472
30118,6421
74706,1665
73391,6261
79646,1665
39595,6261
69002,6261
62922,6261
74942,6261
78059,1665
71950,6261
76987,6261
73751,6261
767,5151
38336,4281
35944,4283
74847,4282
78360,4292
4456,7212
38139,841
51627,4292
38953,4289
81903,4292
67206,4520
14139,8275
30317,841
58697,4281
60842,999
25777,6952
717,8864
30321,6952
82893,4281
73622,6508
44862,4281
48146,6261
84707,6736
71278,6261
37954,6512
56140,4288
44265,1665
83938,1665
77250,1665
38719,4288
55890,4281
4312,4281
58784,6261
36933,4280
73015,4521
60810,1665
73593,4521
70101,1665
46845,1665
76381,1665
46979,4520
71852,4288
82080,6261
9163,6423
66653,6261
65106,1665
67413,6261
51914,1665
79528,6261
70559,6261
74057,6261
63375,6261
34815,6423
25029,6261
69409,6261
70796,6300
84509,6300
62896,6261
60038,6261
76363,1665
79006,1665
55289,6261
51340,6261
79121,6183
63420,6261
79660,4282
47047,4284
77515,10717
81667,6261
60014,4281
77087,4287
54948,4281
57554,6261
79636,6261
83620,6261
56738,6261
31826,6261
80231,6418
56415,6261
77979,4281
77124,4281
6991,562
49559,6427
27613,4283
30929,6512
56236,4281
45196,6512
10373,4283
47315,4281
73289,6300
53317,6427
64736,4521
75705,6300
55227,4283
74429,4281
78009,6244
74048,4520
57543,4267
51171,748
39314,6617
68031,6261
17138,4267
63559,6261
68843,4281
47094,4267
58953,6261
75694,4281
64012,6261
47469,6261
53935,1665
64614,1665
65617,1665
66047,4520
77293,1665
66619,4520
39181,1665
65828,1665
10251,6814
968,7066
12263,5340
7051,5342
85023,4288
10781,9709
58635,7025
16471,2468
37164,5520
12306,5289
38282,4520
63633,4520
24718,8111
59487,4280
42819,8113
56213,4282
67002,4520
70403,4520
81747,6300
62562,4521
49643,4505
15584,9687
68356,1665
23499,4505
17113,9689
42636,6139
60529,4520
76736,6281
46289,1665
34899,4505
77492,4520
79816,4520
78015,4520
65053,6261
69993,1665
66648,6139
45293,4505
3373,6281
74911,1665
26157,4520
62793,4520
64848,6281
71640,4520
66646,4520
43582,6261
21215,4432
42103,5301
72577,6426
33615,6139
83568,4520
21592,9689
80720,4432
84866,4520
30102,4520
48812,6261
55375,6426
83086,6523
75285,6523
71411,6426
11836,6246
1903,7428
50685,6246
61355,2252
48313,6523
85401,5410
75682,4288
30119,6261
74462,4280
57127,4288
39325,4280
73006,4526
8162,4571
72497,4292
38087,6261
6090,4571
58287,4571
32588,4282
58166,6261
48120,6261
28948,4571
2551,9494
81697,4281
45427,4284
19682,6423
53661,4284
68808,4284
18717,6423
16220,4284
37585,6261
34202,4284
2062,4284
7147,6423
66509,4284
81167,4284
53524,6261
48923,4280
50223,6423
72869,4280
79000,4281
61571,6261
83302,4282
11365,4301
72118,6261
51806,6261
37646,4520
37796,4520
75068,4520
26939,4520
23259,4520
41325,4520
30262,4520
35337,4520
30912,4520
26346,4520
11360,5920
78062,6261
46338,4283
74489,6261
73009,7146
81503,4281
41061,3788
68705,7146
70288,6736
55512,5920
46332,3788
45326,4520
2868,5920
61611,6261
56903,6177
23897,7146
62410,6967
30722,6967
4184,4282
77489,4282
35979,4516
66871,6261
28912,7146
4894,11787
80482,4526
43016,4281
2444,6426
44907,5467
68180,4281
47473,4281
71168,6426
52672,4521
25264,4281
81953,4281
68528,6736
60774,6736
75669,4281
6117,4281
72744,6261
49083,6261
56302,5539
2008,9495
38087,6261
2279,5539
83201,5539
46499,5539
70746,6261
44119,4505
56317,6300
611,6300
20151,6735
56555,6261
59787,6300
55299,6261
13513,9495
59843,6261
36804,4284
83525,6261
79749,6261
68079,6261
58145,6261
62359,6736
82304,6300
81823,6261
25689,4520
34487,4284
84768,6261
78297,6261
67144,4282
83825,6261
37634,6426
77609,385
76277,385
45594,4521
68516,1043
63915,4280
83548,6426
55759,5954
15253,7339
82766,8056
55424,8113
7556,7341
73842,4520
56435,4284
49385,6426
44017,10876
58350,4521
66497,6427
30779,1478
49436,6426
26460,11426
64262,6428
48869,6426
44822,4281
49445,6426
48426,4284
51748,4521
61859,4521
68647,6261
63314,6261
64582,4520
70005,6261
82706,6300
70495,6261
29023,562
73378,6261
74417,6261
52858,4284
47891,4292
45072,6261
71908,6261
45720,4280
58850,6261
77798,562
56205,6261
54185,6261
53240,6261
39953,6261
64566,4282
48081,6261
49345,4292
45635,4281
53602,6261
29339,6261
51855,6261
79910,6261
61366,6261
68453,6261
57442,6261
73583,4282
52256,6261
59925,6261
46518,6261
47199,4520
80026,4520
75479,4520
42387,4520
34394,4520
55048,4288
78719,4520
52046,4520
45730,4520
56575,4520
42081,4520
57542,4520
9467,4520
77932,4284
66783,4281
70245,8113
57983,4284
31189,562
62011,4284
31168,4267
46158,6426
23538,6806
72042,4281
50778,4284
19720,8113
75893,6426
31254,4281
46444,8113
37221,4385
55475,4281
62606,1665
2180,6261
67832,6261
46388,7681
73215,6261
65339,6261
63236,6261
77339,6261
56976,829
46789,6261
28789,8071
647,10479
29930,9455
959,5787
13112,4305
470,4509
31773,9455
54465,10479
33048,7845
941,4305
4050,10479
76412,6261
52160,6300
33637,7228
57761,7228
72849,7228
39002,6300
55205,7228
22015,7228
51287,6300
41811,6300
34743,6446
19855,6806
27925,6806
61943,1665
74176,4281
82377,6421
66473,4520
35584,7339
73895,6421
76405,6508
47036,4526
29453,6806
71292,4526
66448,4281
33599,11740
31303,6308
13152,4520
17692,4281
45442,5467
55708,4281
26413,6308
68124,5467
55707,4520
24963,1665
60770,5467
33246,1043
13216,3005
63101,1102
12588,3005
55461,4282
18075,12003
55413,7339
13559,6725
4412,6410
76803,7340
48788,11869
80885,7889
73851,3005
6389,1244
70150,6554
835,5410
40306,7146
6527,5410
30549,11740
53766,6554
42879,5410
26498,7146
68124,5467
18414,1019
22930,7759
15981,6300
36925,4281
61083,4288
26379,4281
23893,4281
44327,6261
4462,7759
1295,7759
71960,4284
54374,4281
52903,6177
78235,4281
49111,7146
78800,4281
71473,7146
53491,4281
75159,4281
55959,7146
78272,4281
10219,7341
83566,4281
59744,7339
6509,4283
80191,4281
28772,7341
10234,7340
8250,7341
26326,4282
31277,7341
33541,4282
29791,4314
2579,4283
64634,4281
37156,7341
40950,4283
40348,4288
32145,6152
18182,5920
80765,5920
55588,6952
18265,910
56755,4288
64657,7146
46197,5920
101,910
81157,5920
46110,10155
73447,10155
33189,8929
305,8929
9649,10870
3915,10143
59358,8977
83619,5340
1966,10155
27251,10870
67201,8929
14334,10155
50164,10148
15568,10143
44882,6181
13754,6143
18373,6143
26394,6426
50789,6426
47695,4571
43547,6426
78111,6143
77540,6427
84533,6426
84768,6261
85180,4282
69588,6261
73998,1665
78978,4282
67459,6261
42537,4292
81697,4281
72348,4280
44242,6261
63086,6261
51340,6261
69458,4526
63564,6261
47531,4505
63559,6261
65897,1665
60754,6261
77860,6261
55744,4526
69639,4281
62294,4282
42498,4281
62799,1665
82167,4282
45900,4281
81605,4281
76882,1665
71882,4281
77863,4281
71925,4282
312,10139
31951,9687
4980,9687
1674,5790
27052,4307
55743,4307
60701,4307
14976,7548
62401,4307
16130,9687
3425,9687
41003,6421
50913,4281
75734,4526
74037,5954
42739,8824
50801,5954
50456,4520
18640,6300
1677,6448
37741,6183
10191,6309
51603,912
50352,4281
36566,4526
21069,8824
36149,6421
59109,4280
10076,4520
9848,4520
60316,4280
18424,6423
48698,6261
9842,4520
25043,4520
9847,4520
83093,6261
82490,6736
24061,5957
54085,4520
9825,4520
9844,4520
78327,6423
77670,4520
13578,10752
79219,4625
36550,11447
5360,11740
501,7338
45530,11714
73520,4755
8073,4625
886,11447
17227,6421
61822,10752
1619,4625
17573,6134
1673,11740
20159,4625
76512,6261
77286,562
74731,6261
22981,5480
39173,5480
3003,5480
7220,5480
50368,4281
63543,5480
40431,6423
49896,4520
61647,6261
54898,5480
22874,5480
68249,4281
73570,6261
68387,5480
61178,6261
62380,6246
30372,6405
14307,11457
27856,4282
11845,11457
33158,4312
41164,6405
67431,7746
14019,5539
54371,6836
43899,3788
64443,6261
24592,4282
47143,6857
41635,3786
44009,6836
38080,6407
45415,5957
45822,6261
16825,6428
72153,6426
83274,7146
62573,6426
64637,6428
72036,6261
32349,7146
23522,6426
53741,6261
78625,6261
72860,6261
41535,6426
64249,6261
54396,6261
62793,4520
33733,6261
33437,6185
37429,6261
7354,562
67308,856
48901,6261
44163,6427
70385,6185
65860,6261
42867,6185
54962,4292
60102,6261
33299,6185
70631,6261
72625,6512
9329,6426
63175,4292
45497,6261
84139,6261
36999,6261
59860,6261
76702,6512
81293,6261
27069,6261
23632,4283
50076,6423
49636,4283
49432,4280
79004,4280
24716,6423
59451,4292
25933,4283
26315,6423
59871,4385
32931,6426
12061,4283
43850,4288
48708,4283
49505,4283
7990,4280
53913,4280
73705,4280
51962,6423
36974,6423
68371,6423
55156,4288
64509,1665
10156,6423
10080,4280
78686,6423
63724,492
36928,2252
47983,2252
22996,2252
56149,2252
28316,333
32366,2252
33175,492
78232,2252
71539,2252
54374,4281
53491,4281
23449,4284
72792,4281
67802,4284
82410,4281
70647,4281
77988,6261
48322,4505
56113,4281
74942,6261
46985,4284
65080,3787
26975,9687
40965,771
10674,6807
34571,1101
44318,4282
49514,6421
41451,4824
37774,6807
48149,4284
80908,6261
54768,6261
70218,6261
75834,4281
64939,1665
75132,1665
79660,4282
82848,1665
24467,1665
45084,4281
72756,4281
24053,669
82087,1665
63255,1665
73291,4281
75866,1665
79403,1665
46657,1665
21339,4281
60543,1665
63546,1665
44611,4280
67730,1665
76512,6261
64505,4281
62830,4282
43542,1535
70173,6423
73737,4267
62874,6548
66773,562
57124,4505
27158,4284
29760,4505
65469,4282
15295,4270
68992,4267
60451,4284
71867,4520
36804,4284
57065,5954
42648,6261
56496,4521
84768,6261
28237,6152
66214,1665
72517,4521
74137,1665
49530,4521
83108,4282
68031,6261
53355,4282
54994,6736
81115,6261
85048,4282
74706,1665
68406,6261
80901,1665
26529,4521
63422,4281
30060,5467
8918,5166
76933,4520
81271,1665
62188,4520
6327,5166
37151,4281
38336,4281
4051,5467
72263,6261
34254,4520
34441,5166
65152,4520
43646,5166
1165,5539
45440,5166
21265,6508
53504,6952
59175,6508
57466,6952
69348,4288
77618,6508
19041,6508
29971,5920
74542,6952
78240,1665
55194,6508
66153,6508
48089,6508
60734,4288
48051,6508
38719,4288
76363,1665
78918,6952
56797,6261
84688,6426
8885,4288
35504,6426
83002,6426
56850,6426
60632,6427
42888,6427
63186,6426
80278,6426
76129,6426
45747,4520
20138,4520
64094,6416
57454,6261
33885,5954
55358,562
67206,4520
22082,5954
67729,4520
34855,562
68554,4280
54833,4520
75754,562
72697,549
73498,4280
58602,4520
13925,9447
13008,9494
61218,9688
4571,9494
34089,9494
14608,7758
55632,9494
71541,6261
53796,6261
13968,9494
8721,9447
4218,4289
81892,6408
23853,4289
33038,4551
33463,4289
33996,9687
21326,4551
18600,4289
66091,6408
60391,6261
25969,4289
13638,4289
309,4289
75111,4281
40733,6261
14563,9456
3653,4289
66723,6261
73675,6261
69978,4520
65192,6261
11219,4551
56634,4282
82259,4721
59728,6407
752,6404
64143,6408
6880,6404
5589,6404
1629,6404
40852,6027
84773,6407
80065,6432
64080,6426
40824,6426
69359,4284
49315,6426
24553,6426
42498,4281
55099,6426
78774,6426
40905,6426
44524,6426
49730,6426
58427,6426
64789,6426
10051,6421
48766,6426
21198,6426
71960,4284
28880,9790
29903,4281
83225,4282
70021,4281
55114,4281
54475,4505
43397,4284
48761,4281
73449,4281
6602,2628
79853,4520
29146,6140
9912,11706
71898,5954
12461,5954
612,4301
64724,4301
20448,5954
65665,6806
48679,4505
46053,6140
61223,4301
38804,6140
37270,6152
31581,4505
60808,4288
14928,5954
67342,1665
82957,4283
53290,11700
53913,4280
5521,2468
28042,4283
15705,2468
31511,4283
37121,10456
15945,12846
74911,1665
77199,1665
76694,1665
61225,1665
66488,1665
78011,4284
80675,4281
82874,1665
75517,1665
85128,1665
45221,1665
65979,1665
45263,1665
75514,1665
71464,1665
73615,1665
76997,1665
73758,1665
33775,6185
79578,6961
71502,6426
75723,6426
50676,6426
52892,6185
64873,6426
53354,6185
21602,6438
68930,6426
46918,731
33889,731
51613,6185
41893,4284
21115,4283
45547,5953
30741,4283
11513,4283
26534,4283
41415,6300
54584,4283
51310,4283
45117,4282
55682,6300
24629,6421
69485,4283
34107,562
5564,562
47955,4283
73195,4283
62083,4284
41392,4283
9567,4283
62954,6426
34535,4283
65427,4283
40234,4283
79416,4282
58083,4281
56226,4288
49139,6423
71581,4283
5494,4280
69765,4280
40318,5953
1655,4756
20560,4280
62116,4521
29780,4280
20830,4521
2392,5239
60438,5953
82710,4280
77929,4521
63901,4280
39716,5953
73042,4521
71323,4280
41261,5953
64712,5953
67700,4280
8946,6343
44086,6438
10006,6525
6953,6736
47465,6735
8921,6736
8771,6438
79655,6438
81315,6343
49548,6427
28328,6519
30991,6735
49124,1665
68867,562
63174,6261
9715,5779
47755,6405
38181,174
78412,6261
70480,6261
30771,4283
78107,4281
15645,6405
72346,4281
55649,5861
78050,4521
