iid_target,iid_neighbors,ratings
330332775,141000198,1
330332775,670880728,1
486284735,486282112,1
486284735,486272745,1
486284735,486270718,1
486284735,486290492,1
486284735,486280489,1
486284735,486282694,1
486284735,486277909,1
486284735,486268705,1
486284735,486285537,1
486284735,486270734,1
486284735,486266842,1
486284735,486284670,1
486284735,486278026,1
486284735,486272818,1
486284735,486272648,1
486284735,048627053X,1
486284735,486275574,1
486284735,486278042,1
486284735,486282252,1
486284735,048626968X,1
486284735,486266907,1
486284735,486268756,1
486284735,486277852,1
486284735,486406482,1
486284735,486284824,1
486284735,486275426,1
486284735,486277860,1
486284735,486266893,1
486284735,486268780,1
486284735,486275590,1
486284735,486266826,1
486284735,486284727,1
486284735,486277828,1
486284735,486268713,1
486284735,486287475,1
486284735,486268659,1
486284735,486282147,1
486284735,486272788,1
486284735,486278085,1
486284735,486287386,1
486284735,486287319,1
486284735,486287149,1
486284735,486275442,1
486284735,486266877,1
486284735,486272737,1
486284735,486287297,1
486284735,486282406,1
486284735,486282228,1
486284735,486295559,1
486284735,486266869,1
486284735,486280578,1
486284735,486287491,1
486284735,486268772,1
486284735,486268721,1
486284735,486287734,1
486284735,486268632,1
486284735,486287262,1
486284735,486282082,1
486284735,486282015,1
486284735,048628512X,1
486284735,048626873X,1
486284735,486277887,1
486284735,486268675,1
399138684,515115649,1
399138684,399139818,1
345354931,345347536,1
345354931,345352467,1
345354931,345350588,1
345354931,345349369,1
345354931,345350480,1
3257208626,067187036X,1
60977493,679457313,1
312872682,312869681,1
316693006,446613266,1
345311396,345385721,1
345378490,345391055,1
345378490,679431136,1
345378490,345379667,1
375400117,037570440X,1
375705856,679738134,1
380717018,380718332,1
380717018,380718340,1
380718332,380718340,1
380807866,380766558,1
385316895,440226406,1
385316895,440295572,1
385508042,739302248,1
385730586,385729340,1
385730586,385729332,1
385730586,440229707,1
446610399,446525502,1
446610399,446527793,1
446610399,446613436,1
446610399,446532452,1
449006522,345433300,1
451162072,451150244,1
451162072,451132378,1
451162072,451157753,1
451162072,385182449,1
451186648,670865729,1
452282152,052594527X,1
452282152,452284937,1
051513290X,399146741,1
553580388,553109839,1
590629719,590034804,1
671027387,671027379,1
671027387,743490304,1
684848783,068484267X,1
684848783,743200985,1
684848783,684865742,1
684848783,068487217X,1
684848783,671045555,1
743486226,671027352,1
743486226,743535774,1
743486226,552150738,1
786863986,786884142,1
786863986,330361120,1
804117934,804118558,1
804117934,804119368,1
804117934,080411188X,1
804117934,449908488,1
804117934,804115621,1
804117934,804108587,1
140003180X,037542217X,1
155874262X,1558743766,1
60987103,60391448,1
60987103,60745908,1
151008116,156027321,1
151008116,1565117794,1
151008116,184195425X,1
804111359,449911519,1
804111359,679410325,1
1558744150,1558744606,1
1558744150,155874424X,1
1558744150,1558745017,1
1558744150,1558746226,1
1558744150,1558743790,1
1558744150,1558744215,1
1558744150,1558744142,1
1558744150,1558744290,1
006102063X,380821214,1
006102063X,61020702,1
006102063X,61057649,1
006102063X,006105691X,1
006102063X,61054895,1
006102063X,61020699,1
006102063X,61020648,1
006102063X,61092177,1
006102063X,61020680,1
006102063X,61020656,1
006102063X,61020397,1
006102063X,61059072,1
006102063X,61020400,1
006102063X,61020664,1
006102063X,61056901,1
60013117,60013125,1
60199563,61031321,1
61050474,61059064,1
61050474,61051586,1
61052515,61052507,1
61052523,61056901,1
64472264,60288132,1
64472264,60521856,1
140620664,140620427,1
140620664,140620125,1
140620664,140620109,1
140620664,140621407,1
140620664,140620281,1
140620664,014062080X,1
140620664,140621598,1
140620664,140620508,1
140620664,140620443,1
140620664,140620842,1
140620664,140620753,1
140620664,140620850,1
140620664,140620249,1
140620664,140620222,1
140620664,140621792,1
140620664,140621164,1
140620664,140430164,1
140620664,140620990,1
140620664,140621571,1
140620664,140621377,1
140620664,014062029X,1
140620664,140621644,1
140620664,140620494,1
140620664,140620311,1
140620664,140621539,1
140620664,140621342,1
140620664,140620907,1
140620664,140621032,1
140620664,140621067,1
140620664,014062077X,1
140620664,140621318,1
140620664,140620176,1
140620664,140620761,1
140620664,140620591,1
140620664,140620265,1
140620664,014062063X,1
140620664,140620834,1
140620664,140434143,1
140620664,140621423,1
140620664,140621601,1
140620664,014062144X,1
140620664,140620230,1
140620664,140620621,1
140620664,140620192,1
140620664,140621490,1
140620664,140620915,1
140620664,140621210,1
140620664,140621040,1
140620664,140621105,1
140620664,140621628,1
140620664,140621482,1
140620664,140621202,1
312156960,312206488,1
375751513,679600019,1
375823352,037582345X,1
375823352,375823468,1
375823352,345413377,1
375823352,590542443,1
375823352,440418569,1
375823352,679879269,1
375823352,440238153,1
037582345X,375823468,1
037582345X,679893105,1
037582345X,345413350,1
037582345X,679879242,1
037582345X,440418321,1
037582345X,440238137,1
375823468,345413369,1
375823468,590112899,1
375823468,679879250,1
375823468,807281859,1
375823468,044041833X,1
375823468,440238145,1
375823468,375802118,1
451409256,6513409,1
451523415,140390693,1
451526279,451526295,1
451526279,451523377,1
451526279,451526643,1
451526279,451526120,1
451526279,451527623,1
451526279,451526910,1
451526279,451527607,1
451526279,451527534,1
451526279,451527704,1
451526279,451523660,1
486415864,486424499,1
486415864,486268659,1
486415864,486414108,1
486415864,486415872,1
486415864,486424545,1
486415864,486268721,1
486415864,486415899,1
486415864,486415953,1
486415864,486420485,1
486415864,486421228,1
486415864,486419231,1
553280589,553550039,1
684833395,671502336,1
743245024,185326217X,1
1401201172,1563898586,1
374270325,553580930,1
375719180,393020363,1
1853260673,140431268,1
1853260673,451523601,1
60977477,006101351X,1
60977477,039304016X,1
60977477,393050327,1
671649949,671743503,1
312963009,679451722,1
345430476,037550074X,1
380728729,688149790,1
380728729,553478680,1
449912302,345419995,1
449912302,345416600,1
449912302,517595753,1
449912302,345440633,1
449912302,345431693,1
449912302,449909735,1
449912302,345440641,1
312988699,312288778,1
486282112,486272745,1
486282112,486270718,1
486282112,486290492,1
486282112,486280489,1
486282112,486282694,1
486282112,486277909,1
486282112,486268705,1
486282112,486285537,1
486282112,486270734,1
486282112,486266842,1
486282112,486284670,1
486282112,486278026,1
486282112,486272818,1
486282112,486272648,1
486282112,048627053X,1
486282112,486275574,1
486282112,486278042,1
486282112,486282252,1
486282112,048626968X,1
486282112,486266907,1
486282112,486268756,1
486282112,486277852,1
486282112,486284824,1
486282112,486275426,1
486282112,486277860,1
486282112,486266893,1
486282112,486268780,1
486282112,486275590,1
486282112,486266826,1
486282112,486284727,1
486282112,486277828,1
486282112,486268713,1
486282112,486287475,1
486282112,486268659,1
486282112,486282147,1
486282112,486272788,1
486282112,486278085,1
486282112,486287386,1
486282112,486287319,1
486282112,486287149,1
486282112,486275442,1
486282112,486266877,1
486282112,486272737,1
486282112,486287297,1
486282112,486282406,1
486282112,486282228,1
486282112,486266869,1
486282112,486280578,1
486282112,486287491,1
486282112,486268772,1
486282112,486268721,1
486282112,486287734,1
486282112,486268632,1
486282112,486287262,1
486282112,486282082,1
486282112,486282015,1
486282112,048628512X,1
486282112,048626873X,1
486282112,486277887,1
486282112,486268675,1
345371984,517582155,1
380730138,688180639,1
1573228737,1573229725,1
1573228737,1573221562,1
425120279,425083837,1
425120279,870212850,1
380728273,380723638,1
380728273,380725835,1
380728273,380725827,1
380728273,399144595,1
8433914545,8433969978,1
446606197,446604062,1
446606197,446400807,1
446606197,446612979,1
446606197,446404241,1
1559703237,345404742,1
60188731,60934417,1
140374248,140328718,1
140374248,679880909,1
142001740,096533192X,1
142001740,670894605,1
142001740,670032379,1
312995423,312263120,1
380815923,552998001,1
380815923,60958014,1
380815923,380978725,1
385416342,038542471X,1
385416342,044021145X,1
385416342,385424728,1
385416342,385424736,1
385416342,044021145x,1
385418493,385418485,1
038542471X,385424728,1
038542471X,385424736,1
038542471X,440213525,1
449005410,345436911,1
449005410,345445732,1
449005410,345440765,1
449005410,345455916,1
449005410,345464958,1
449005410,345442768,1
449005410,345447212,1
449005410,345439244,1
449005410,345458303,1
449005410,345450914,1
449005410,345439112,1
449005410,345441613,1
449005410,345440005,1
449005410,034544907X,1
449005410,034543773X,1
449005410,345447654,1
449005410,034544017X,1
449005410,345445759,1
449005410,345440838,1
449005410,345457374,1
449005410,345447549,1
449005410,345451295,1
449202631,449245004,1
449202631,449202623,1
449207544,449217191,1
449207544,449212645,1
449207544,449212394,1
449207544,449212661,1
449207544,449211991,1
449207544,449212726,1
449207544,449212688,1
449207544,449211738,1
449207544,449212696,1
515128554,515128546,1
590450875,590458469,1
590450875,590462946,1
590481371,439042445,1
067103619X,684864320,1
743411269,743204700,1
743470389,786888067,1
743470389,786868139,1
380012863,684846845,1
373245580,373244355,1
373245580,373244835,1
373245580,373244479,1
373245580,373244975,1
373245580,373245807,1
373245580,037324441X,1
451527747,440407435,1
671867113,684810387,1
812504208,140390839,1
812504208,439099404,1
812504208,451523555,1
812504208,140390480,1
812504208,590433520,1
812504208,590408003,1
60173289,60928336,1
60173289,60502258,1
60173289,61015075,1
60173289,069452008X,1
006101351X,039304016X,1
006101351X,393050327,1
316666343,316168815,1
316666343,1402521154,1
440224675,038529929X,1
440224675,B00009EF82,1
452279690,525941673,1
553569058,385260083,1
679427430,553569074,1
1573225126,1573229628,1
1573225126,039568093X,1
1878424319,1878424505,1
1853260622,1853262714,1
345335465,345339495,1
345335465,345368959,1
345335465,345368932,1
345335465,345424603,1
345335465,345369335,1
385333404,385333412,1
044021145X,044021145x,1
449212084,449209598,1
449212084,449212750,1
449212084,449219399,1
449212084,449206211,1
449212084,449209695,1
449212084,449206181,1
449212084,449219372,1
449212084,449219402,1
449212084,449001946,1
449212084,449219380,1
866119566,866119671,1
866119566,866119558,1
866119566,866119728,1
1569471096,671025864,1
316168815,1402521154,1
345424719,375501371,1
345424719,037540290X,1
345424719,034543479X,1
385503857,965739228,1
425156842,425152251,1
440226104,375500510,1
452277337,452284481,1
452277337,452279593,1
452277337,452279453,1
553802488,553584480,1
671021001,671003755,1
671021001,671042572,1
671021001,671014730,1
767903579,471247421,1
805063897,805063889,1
679777431,067977744X,1
671002481,671797050,1
812523385,038509423X,1
842329129,842329110,1
345451260,345470621,1
380973545,553109588,1
380973545,439173175,1
743424425,074343627X,1
743424425,743467523,1
743424425,671039725,1
743424425,743455967,1
743424425,671024256,1
786868015,786890436,1
743229878,743448944,1
440235057,385333919,1
445402040,446301302,1
60915544,60158638,1
60925000,60170123,1
61000280,038044156X,1
399137807,515111279,1
399137807,399136460,1
399137807,399138307,1
399137807,399136649,1
451203046,440147956,1
451203046,451192028,1
451203046,670428272,1
486292940,048640076X,1
486292940,486289990,1
486292940,486285537,1
486292940,486292568,1
486292940,486270734,1
486292940,486408787,1
486292940,486290816,1
486292940,486406539,1
486292940,486414167,1
486292940,486264661,1
486292940,486295729,1
486292940,486290387,1
486292940,486404277,1
486292940,486406482,1
486292940,486298035,1
486292940,486406598,1
486292940,486411095,1
486292940,048640885X,1
486292940,486296040,1
486292940,486268780,1
486292940,486292738,1
486292940,486298574,1
486292940,486292576,1
486292940,486404315,1
486292940,486268713,1
486292940,048629577X,1
486292940,486278085,1
486292940,486292495,1
486292940,486293084,1
486292940,048629093X,1
486292940,486290638,1
486292940,486290271,1
486292940,486272737,1
486292940,486287297,1
486292940,486295060,1
486292940,486292460,1
486292940,486290301,1
486292940,486295559,1
486292940,486404293,1
486292940,048629823X,1
486292940,486280578,1
486292940,486414132,1
486292940,486406520,1
486292940,486299287,1
486292940,486411052,1
486292940,486414086,1
486292940,486297713,1
486292940,486268632,1
486292940,048640109X,1
486292940,486290972,1
486292940,048626873X,1
486292940,048629109X,1
486292940,486411109,1
486292940,486404242,1
486292940,486277887,1
486292940,486295834,1
486292940,486296024,1
486292940,486400603,1
486292940,486414264,1
312278586,312291639,1
312278586,312988915,1
312288115,312313616,1
316171107,446675172,1
515118656,515122491,1
515118656,515128600,1
515118656,515125628,1
515118656,051512088X,1
515118656,515127213,1
671000306,068480297X,1
671000306,671786261,1
671673688,671556657,1
425178242,399147918,1
618173870,60529709,1
156027321,1565117794,1
156027321,156030209,1
156027321,184195425X,1
375403582,375703438,1
743418190,743418204,1
385335407,385335520,1
385335407,044023669X,1
60923245,60167033,1
553272837,553802127,1
425181111,425181103,1
425181111,425188809,1
425181111,042518109X,1
425181111,425119920,1
380732688,688156142,1
380732688,380817691,1
380732688,60554894,1
140286276,670865796,1
449907481,345396456,1
345441133,609607375,1
515134279,051512950X,1
385490992,99244926,1
385424728,385424736,1
385424728,440220602,1
385424728,553472348,1
312980388,312278233,1
385472951,385493800,1
385472951,440224764,1
385472951,440295556,1
385472951,440295424,1
425182878,399147284,1
425182878,425141233,1
425182878,425195449,1
425182878,425168298,1
425182878,425146413,1
425182878,425152898,1
425182878,425132048,1
425182878,425126064,1
425182878,425189864,1
425182878,425178765,1
553564528,553099590,1
743412621,743206061,1
849943728,084994371X,1
849943728,849917905,1
084994371X,849917905,1
042517736X,425166619,1
042517736X,425155943,1
042517736X,425155404,1
042517736X,425172996,1
042517736X,425155064,1
042517736X,425174204,1
671868713,684810484,1
345369947,345360001,1
345353625,671630512,1
308102282,380016699,1
679401377,345415000,1
385306032,385306024,1
385306032,440217466,1
385306032,385299087,1
385306032,038531292X,1
385306032,385304900,1
821772953,821769367,1
553576925,055357695X,1
553576925,553575538,1
688169678,688151981,1
440441501,440492041,1
440441501,440417953,1
446394521,99297213,1
068484267X,684874350,1
068484267X,684865742,1
068484267X,068487217X,1
068484267X,684872153,1
068484267X,684843137,1
068484267X,671576089,1
553578693,553802380,1
380709260,380712369,1
380709260,380709236,1
380709260,380709554,1
380709260,038070921X,1
380709260,380710870,1
380709260,380709147,1
380709260,380709155,1
345413377,590542443,1
345413377,440418569,1
345413377,679879269,1
345413377,440238153,1
345413369,590112899,1
345413369,345413350,1
345413369,679879250,1
345413369,807281859,1
345413369,044041833X,1
345413369,440238145,1
345413369,375802118,1
679893105,345413350,1
679893105,679879242,1
679893105,440418321,1
679893105,440238137,1
451184718,525940111,1
449209121,449215156,1
449209121,449208648,1
449209121,449215245,1
449209121,449147606,1
553298860,553297341,1
440122090,440213886,1
671525832,671525751,1
61009059,312990456,1
61009059,684196395,1
60930187,60174900,1
60930187,60932139,1
60930187,60955228,1
60930187,60953462,1
679450432,345404785,1
821770209,082176828X,1
821770209,821767852,1
446364193,446692638,1
399144463,067104334X,1
965404560,676974562,1
965404560,385503954,1
312206763,312186681,1
316116025,316116106,1
385314019,440223253,1
425174484,812929802,1
140185216,141182679,1
140185216,140283293,1
486272745,486270718,1
486272745,486290492,1
486272745,486280489,1
486272745,486282694,1
486272745,486277909,1
486272745,486268705,1
486272745,486285537,1
486272745,486270734,1
486272745,486266842,1
486272745,486284670,1
486272745,486278026,1
486272745,486272818,1
486272745,486272648,1
486272745,048627053X,1
486272745,486275574,1
486272745,486278042,1
486272745,486282252,1
486272745,048626968X,1
486272745,486266907,1
486272745,486268756,1
486272745,486277852,1
486272745,486284824,1
486272745,486275426,1
486272745,486277860,1
486272745,486266893,1
486272745,486268780,1
486272745,486275590,1
486272745,486266826,1
486272745,486284727,1
486272745,486277828,1
486272745,486268713,1
486272745,486287475,1
486272745,486268659,1
486272745,486282147,1
486272745,486272788,1
486272745,486278085,1
486272745,486287386,1
486272745,486287319,1
486272745,486287149,1
486272745,486275442,1
486272745,486266877,1
486272745,486272737,1
486272745,486287297,1
486272745,486282406,1
486272745,486282228,1
486272745,486266869,1
486272745,486280578,1
486272745,486287491,1
486272745,486268772,1
486272745,486268721,1
486272745,486287734,1
486272745,486268632,1
486272745,486287262,1
486272745,486282082,1
486272745,486282015,1
486272745,048628512X,1
486272745,048626873X,1
486272745,486411109,1
486272745,486277887,1
486272745,486268675,1
62507249,151115192,1
684801221,684163268,1
684801221,684830493,1
140293248,067088300X,1
140293248,140292683,1
140293248,140278826,1
193156146X,015602943X,1
62517856,62517864,1
449911683,449207145,1
449911683,1400031044,1
449911683,449001156,1
2266084372,2742708448,1
3492207006,3492107001,1
140620427,140620125,1
140620427,140620109,1
140620427,140621407,1
140620427,140620281,1
140620427,014062080X,1
140620427,140621598,1
140620427,140620508,1
140620427,140620443,1
140620427,140620842,1
140620427,140620753,1
140620427,140620850,1
140620427,140620249,1
140620427,553213342,1
140620427,140620222,1
140620427,140621792,1
140620427,140621164,1
140620427,140620990,1
140620427,140621571,1
140620427,140621377,1
140620427,014062029X,1
140620427,140621644,1
140620427,140620494,1
140620427,140620311,1
140620427,140621539,1
140620427,140621342,1
140620427,140620907,1
140620427,140621032,1
140620427,140430474,1
140620427,140621067,1
140620427,014062077X,1
140620427,140621318,1
140620427,140620176,1
140620427,140620761,1
140620427,140620591,1
140620427,140620265,1
140620427,014062063X,1
140620427,140620834,1
140620427,140621423,1
140620427,140621601,1
140620427,014062144X,1
140620427,140620230,1
140620427,140620621,1
140620427,140620192,1
140620427,140621490,1
140620427,140620915,1
140620427,140621210,1
140620427,140621040,1
140620427,140621105,1
140620427,140621628,1
140620427,140621482,1
140620427,140621202,1
385504209,739307312,1
385504209,739302043,1
446525502,446605239,1
446525502,446520802,1
446525502,446676098,1
385500769,385720106,1
399147012,425182843,1
670892963,140298479,1
670892963,670880728,1
451197275,140279091,1
425184129,425178102,1
151001006,067976402X,1
151001006,151004439,1
151001006,067976402x,1
385505833,385508417,1
385505833,739301985,1
679442790,375707972,1
60191929,61097101,1
743206045,743460529,1
684864843,684864320,1
684864843,684845768,1
684867818,684834731,1
743406176,743417178,1
446523569,446606812,1
446523569,446676071,1
446523569,1570426058,1
671042556,671042564,1
140107649,140089373,1
140107649,140139400,1
140107649,140299939,1
140107649,140122060,1
140107649,140119795,1
140107649,140130209,1
140107649,140115854,1
140107649,140086838,1
140107649,140119485,1
140107649,140144080,1
140107649,140084428,1
140107649,140088946,1
140107649,140084975,1
446527793,446613436,1
446527793,446532452,1
446531332,446691798,1
1570717257,743225082,1
60192631,61097578,1
385420161,385474016,1
385420161,038542017X,1
345339711,345339703,1
345339711,345339738,1
345339711,618002235,1
345339711,395489334,1
345339711,618129081,1
345339711,039527222X,1
345339711,618260277,1
345339711,618153993,1
039304016X,393050327,1
399147128,515132187,1
399147128,399149848,1
670031046,375431667,1
394574745,679744398,1
394574745,394574753,1
316969443,446679593,1
316969443,446611085,1
743230051,743456866,1
316693200,446612790,1
684864320,684845768,1
671525794,140071814,1
446602086,316171654,1
64407667,60283122,1
64407667,64408639,1
64407667,64407675,1
64407667,64407691,1
64407667,64407683,1
64407667,60283130,1
64407667,60283157,1
64407667,60518286,1
140253580,140254641,1
743222229,743225198,1
60927240,60930861,1
316776963,316777722,1
60934719,380804557,1
451181379,451205421,1
786889160,786862343,1
345370740,345386744,1
345370740,345375599,1
446300101,899193625,1
446300101,899193145,1
425142485,425118703,1
425142485,042513525X,1
425142485,425099334,1
425142485,425085325,1
425142485,425136981,1
786886463,786866462,1
038529929X,B00009EF82,1
743211383,074343627X,1
743211383,743467523,1
743211383,B0000E63CJ,1
039914370X,399145877,1
812521331,812515609,1
812521331,812507428,1
812521331,812507436,1
812521331,812507452,1
812521331,812515595,1
812521331,812507479,1
812521331,812521501,1
812521331,812515560,1
440218535,374266441,1
440218535,385315147,1
440218535,770426182,1
449207595,449232921,1
449207595,449240282,1
670844594,140051627,1
590897985,590371258,1
64405052,60234970,1
152162445,152162577,1
152162445,015216250X,1
152162445,152024603,1
152162577,015216250X,1
152162577,152024603,1
015216250X,152024603,1
345391802,671527215,1
345391802,671746065,1
345391802,671701592,1
345391802,517542099,1
345391802,671664964,1
345391802,345418913,1
3404118960,3404116755,1
3404118960,3785705778,1
3404118960,3404259882,1
451155750,451126661,1
345428544,345428455,1
345428544,345428560,1
671694049,671742515,1
671694049,671625837,1
671694049,434009210,1
449006557,345440048,1
449006557,345433270,1
449006557,449005828,1
449006557,034544003X,1
373250339,373250177,1
373250339,373250290,1
373250339,373250193,1
373250339,373250134,1
373250339,373250207,1
373250339,037325024X,1
373250339,373250258,1
373250339,373250282,1
373250339,373250231,1
373250339,373250185,1
373250339,373250312,1
380820447,60556862,1
451454243,670844543,1
451454243,140177213,1
373871562,373871279,1
373871562,373871945,1
373871562,373871864,1
373871562,373871589,1
373871562,373871554,1
373871562,373871694,1
373871562,373871902,1
373871562,373871848,1
373871562,373872135,1
373871562,373872585,1
373871562,373871910,1
373871562,373871872,1
373871562,373871643,1
373871562,373872224,1
373871562,373871686,1
373871562,373871929,1
373871562,373871600,1
373871562,373871899,1
373871562,373871880,1
373871562,373871651,1
373871562,373871961,1
312853238,812565959,1
312853238,765342294,1
312853238,812550706,1
312853238,812533550,1
312853238,812550757,1
312853238,812509250,1
312853238,812532570,1
312853238,812522397,1
312853238,812519116,1
385493800,99245027,1
385493800,440295424,1
067175145X,671751506,1
440211727,385470819,1
380002450,055321330X,1
425134350,425109720,1
385479689,385474903,1
044661162X,316153915,1
515122408,515090506,1
515122408,515118249,1
515122408,039914210X,1
515122408,515102652,1
515122408,515099546,1
515122408,515120278,1
440222818,044022506X,1
440222818,385316550,1
038533334X,374120803,1
440130913,385295081,1
449001954,345443802,1
451185277,670879428,1
440224829,385317093,1
671779338,067177932X,1
380817144,380817152,1
380752115,380752123,1
380752115,380752131,1
553212583,553211412,1
446364762,688084907,1
425166619,399143165,1
425166619,425155943,1
425166619,425155404,1
425166619,425172996,1
425166619,425155064,1
425166619,425174204,1
64472779,60294698,1
312422156,374199698,1
373123485,373122608,1
399143165,399144714,1
312282990,679450041,1
042512892X,425118312,1
042512892X,425108538,1
014036336X,440437423,1
345348036,034543014X,1
345348036,151730857,1
871137380,451203933,1
871137380,140288503,1
034538184X,679420649,1
140620125,140620109,1
140620125,140621407,1
140620125,140620281,1
140620125,014062080X,1
140620125,140621598,1
140620125,140434186,1
140620125,140620508,1
140620125,192823507,1
140620125,140620443,1
140620125,140620842,1
140620125,141439556,1
140620125,451523385,1
140620125,140430016,1
140620125,140620753,1
140620125,140620850,1
140620125,140620249,1
140620125,140620222,1
140620125,140621792,1
140620125,140621164,1
140620125,140620990,1
140620125,140621571,1
140620125,140621377,1
140620125,014062029X,1
140620125,140621644,1
140620125,140620494,1
140620125,140620311,1
140620125,140621539,1
140620125,140621342,1
140620125,140620907,1
140620125,140621032,1
140620125,140621067,1
140620125,014062077X,1
140620125,140621318,1
140620125,140620176,1
140620125,140620761,1
140620125,140620591,1
140620125,140620265,1
140620125,014062063X,1
140620125,140620834,1
140620125,140621423,1
140620125,140621601,1
140620125,014062144X,1
140620125,140620230,1
140620125,140620621,1
140620125,140620192,1
140620125,140621490,1
140620125,140620915,1
140620125,140621210,1
140620125,140621040,1
140620125,140621105,1
140620125,140621628,1
140620125,140621482,1
140620125,140621202,1
140620109,140621407,1
140620109,140620281,1
140620109,014062080X,1
140620109,140621598,1
140620109,140620508,1
140620109,140620443,1
140620109,140620842,1
140620109,140620753,1
140620109,140620850,1
140620109,140620249,1
140620109,140620222,1
140620109,140621792,1
140620109,140621164,1
140620109,140620990,1
140620109,140621571,1
140620109,140621377,1
140620109,014062029X,1
140620109,140621644,1
140620109,140620494,1
140620109,140620311,1
140620109,140621539,1
140620109,140621342,1
140620109,140620907,1
140620109,140621032,1
140620109,140621067,1
140620109,014062077X,1
140620109,140621318,1
140620109,140620176,1
140620109,140620761,1
140620109,140620591,1
140620109,140620265,1
140620109,014062063X,1
140620109,140620834,1
140620109,140621423,1
140620109,140621601,1
140620109,014062144X,1
140620109,140620230,1
140620109,140620621,1
140620109,140620192,1
140620109,140621490,1
140620109,140620915,1
140620109,140621210,1
140620109,140621040,1
140620109,140621105,1
140620109,140621628,1
140620109,140621482,1
140620109,140621202,1
671745530,671739670,1
671745530,067166493X,1
553211412,553210211,1
671510053,743225406,1
671510053,068419337X,1
671510053,743225422,1
385334036,440235162,1
385334036,593045254,1
345347536,345352467,1
345347536,345350588,1
345347536,345349369,1
345347536,345350480,1
055321313X,553213148,1
055321313X,553213164,1
055321313X,553213156,1
590484753,590457225,1
743237188,743466527,1
553586122,553292447,1
553584510,553802518,1
1551662744,1551667339,1
440216842,440216877,1
345443284,037541178X,1
345443284,345420748,1
60972777,802136680,1
055326382X,60959681,1
345418018,345417976,1
345418018,034541795X,1
345418018,345417968,1
140253602,140290214,1
140253602,140282203,1
671789422,151731527,1
