政策名称,施行时间,制定机关,发文字号,包含规模的句子,包含家庭农场的句子
国务院办公厅关于完善支持政策促进农民持续增收的若干意见,国务院办公厅 机构沿革,2016.11.24,国办发〔2016〕87号,大规模推进高标准农田建设和农村土地整治，加强农田水利、农业科技和粮食仓储物流等基础设施建设，实施山水林田湖生态保护和修复工程。\落实和完善农业“三项补贴”改革政策，重点支持耕地地力保护和粮食适度规模经营。\建设现代饲草料产业体系，合理布局畜禽、水产养殖，推进标准化、规模化生产。\探索开展粮食生产规模经营主体营销贷款改革试点。\工商资本投资建设高标准农田、生态公益林等连片面积达到一定规模的，允许在符合土地管理法律法规和土地利用总体规划、依法办理建设用地审批手续、坚持节约集约用地的前提下，利用一定比例的土地开展观光和休闲度假旅游、农产品加工流通等经营活动。\鼓励工商企业投资适合产业化、规模化、集约化经营的农业领域，积极发展现代种养业和农业多种经营。,完善财税、信贷、保险、用地、项目支持等政策，培育发展家庭农场、专业大户、农民合作社、农业产业化龙头企业等新型农业经营主体。
中共中央、国务院关于落实发展新理念加快农业现代化实现全面小康目标的若干意见,中国共产党中央委员会 国务院,2015.12.31,中发〔2016〕1号,  1．大规模推进高标准农田建设。\  2．大规模推进农田水利建设。\大力开展区域规模化高效节水灌溉行动，积极推广先进适用节水灌溉技术。\扩大开发性金融支持水利工程建设的规模和范围。\  5．发挥多种形式农业适度规模经营引领作用。\坚持以农户家庭经营为基础，支持新型农业经营主体和新型农业服务主体成为建设现代农业的骨干力量，充分发挥多种形式适度规模经营在农业机械和科技成果应用、绿色发展、市场开拓等方面的引领功能。\完善财税、信贷保险、用地用电、项目支持等政策，加快形成培育新型农业经营主体的政策体系，进一步发挥财政资金引导作用，撬动规模化经营主体增加生产性投入。\探索开展粮食生产规模经营主体营销贷款改革试点。\支持多种类型的新型农业服务主体开展代耕代种、联耕联种、土地托管等专业化规模化服务。\健全县乡农村经营管理体系，加强对土地流转和规模经营的管理服务。\加快现代畜牧业建设，根据环境容量调整区域养殖布局，优化畜禽养殖结构，发展草食畜牧业，形成规模化生产、集约化经营为主导的产业发展格局。\实行建设用地总量和强度双控行动，严格控制农村集体建设用地规模。\实施耕地质量保护与提升行动，加强耕地质量调查评价与监测，扩大东北黑土地保护利用试点规模。\扩大新一轮退耕还林还草规模。\开展大规模国土绿化行动，增加森林面积和蓄积量。\继续推进农业标准化示范区、园艺作物标准园、标准化规模养殖场（小区）、水产健康养殖场建设。\加快实现所有具备条件的乡镇和建制村通硬化路、通班车，推动一定人口规模的自然村通公路。\发展农村规模化沼气。\全面改善贫困地区义务教育薄弱学校基本办学条件，改善农村学校寄宿条件，办好乡村小规模学校，推进学校标准化建设。\健全农村劳动力转移就业服务体系，大力促进就地就近转移就业创业，稳定并扩大外出农民工规模，支持农民工返乡创业。\健全财政转移支付同农业转移人口市民化挂钩机制，建立城镇建设用地增加规模同吸纳农业转移人口落户数量挂钩机制。\科学确定粮食等重要农产品国家储备规模，完善吞吐调节机制。,积极培育家庭农场、专业大户、农民合作社、农业产业化龙头企业等新型农业经营主体。
农业部关于印发《“十三五”全国新型职业农民培育发展规划》的通知,农业部(已撤销) 机构沿革,2017.01.09,农科教发〔2017〕2号,随着现代农业加快发展和农民教育培训工作有效开展，一大批新型职业农民快速成长，一批高素质的青年农民正在成为专业大户、家庭农场主、农民合作社领办人和农业企业骨干，一批农民工、中高等院校毕业生、退役士兵、科技人员等返乡下乡人员加入到新型职业农民队伍，工商资本进入农业领域，“互联网＋”现代农业等新业态催生一批新农民，新型职业农民正逐步成为适度规模经营的主体，为现代农业发展注入新鲜血液。\从产业上分，根据农业产业发展需要，重点遴选粮食和主要农产品适度规模生产，种植业、畜牧业、渔业、农产品加工业转型升级，休闲农业与乡村旅游、农村一二三产业融合等产业领域和农机、植保、兽医、质量安全、农村信息等服务行业的从业者。\原则上由县级以上（含）人民政府制定认定管理办法，主要认定生产经营型职业农民，以职业素养、教育培训情况、知识技能水平、生产经营规模和生产经营效益等为参考要素，明确认定条件和标准，开展认定工作。\鼓励新型职业农民带头创办家庭农场、农民合作社等各类新型农业经营主体，发展多种形式的适度规模经营，通过土地流转、产业扶持、财政补贴、金融保险、社会保障、人才奖励激励等政策措施，推进新型职业农民和新型农业经营主体“两新”融合、一体化发展。\“十三五”期间，重点实施新型农业经营主体带头人轮训计划、现代青年农场主培养计划和农村实用人才带头人培训计划，加快建立一支规模宏大、结构合理、素质优良的新型职业农民队伍。\加强对新型农业经营主体带头人的规范管理、政策扶持、跟踪服务，支持其发展多种形式的适度规模经营，发挥新型职业农民引领现代农业发展的主力军作用。,随着现代农业加快发展和农民教育培训工作有效开展，一大批新型职业农民快速成长，一批高素质的青年农民正在成为专业大户、家庭农场主、农民合作社领办人和农业企业骨干，一批农民工、中高等院校毕业生、退役士兵、科技人员等返乡下乡人员加入到新型职业农民队伍，工商资本进入农业领域，“互联网＋”现代农业等新业态催生一批新农民，新型职业农民正逐步成为适度规模经营的主体，为现代农业发展注入新鲜血液。\从类型上分，按照新型农业经营主体和农业社会化服务主体发展情况，重点遴选专业大户、家庭农场经营者、农民合作社带头人、农业企业骨干和返乡下乡涉农创业者为生产经营型职业农民培育对象，遴选在新型农业经营主体稳定就业的农业工人（农业雇员）为专业技能型职业农民培育对象，遴选从事农业产前、产中、产后经营性服务的骨干人员为专业服务型职业农民培育对象。\鼓励新型职业农民带头创办家庭农场、农民合作社等各类新型农业经营主体，发展多种形式的适度规模经营，通过土地流转、产业扶持、财政补贴、金融保险、社会保障、人才奖励激励等政策措施，推进新型职业农民和新型农业经营主体“两新”融合、一体化发展。\  新型农业经营主体带头人轮训计划以专业大户、家庭农场经营者、农民合作社带头人、农业龙头企业负责人和农业社会化服务组织负责人等为对象，力争用5年时间将其轮训一遍，提高综合素质和职业能力。\  （二）新型职业农民学历提升工程  支持涉农职业院校开展新型职业农民学历教育，面向专业大户、家庭农场经营者、农民合作社负责人、农业企业经营管理人员、农村基层干部、返乡下乡涉农创业者、农村信息员和农业社会化服务人员等，采取农学结合、弹性学制、送教下乡等形式开展农民中高等职业教育，重点培养具有科学素养、创新精神、经营能力和示范带动作用的新型农业经营主体带头人与农业社会化服务人员，有效提高新型职业农民队伍综合素质和学历水平。
农业部关于推进农业供给侧结构性改革的实施意见,农业部(已撤销) 机构沿革,2017.01.26,农发〔2017〕1号,大规模开展高标准农田建设，加大投入力度，创新建设机制，提高建设质量。\加快推进畜禽标准化规模养殖，指导养殖场（小区）进行升级改造。\全面推进奶业振兴，重点支持适度规模和种养结合家庭牧场，推动优质奶源基地建设，加强生产过程管控，引导扩大生鲜乳消费，培育国产优质品牌。\科学编制养殖水域滩涂规划，合理划定养殖区、限养区、禁养区，确定湖泊、水库和近海海域等公共自然水域养殖规模，科学调整养殖品种结构和养殖模式，推动水产养殖减量增效。\以规模化种养基地为基础，依托农业产业化龙头企业带动，聚集现代生产要素，建设“生产＋加工＋科技”、一二三产融合的现代农业产业园，发挥技术集成、产业融合、创业平台、核心辐射等功能作用。\加快畜禽粪污集中处理，支持规模养殖场配套建设节水、清粪、有机肥生产加工等设施设备，推广“果沼畜”“菜沼畜”“茶沼畜”等畜禽粪污综合利用、种养循环的多种技术模式。\推动规模化大中型沼气健康发展。\     17.扩大耕地轮作休耕制度试点规模。\适当扩大东北冷凉区和北方农牧交错区轮作试点规模以及河北地下水漏斗区、湖南重金属污染区、西南西北生态严重退化区休耕试点规模。\完善家庭农场认定办法和名录制度，健全示范家庭农场评定机制，扶持规模适度的家庭农场。\     27.积极发展农业适度规模经营。\完善土地流转和适度规模经营健康发展的政策措施，大力培育新型农业经营主体和服务主体，通过经营权流转、股份合作、代耕代种、联耕联种、土地托管等多种方式，加快发展土地流转型、服务带动型等多种形式规模经营。\完善家庭农场认定办法，扶持规模适度的家庭农场。\研究建立农业适度规模经营评价指标体系，引导规模经营健康发展（经管司牵头）。\推动农业三项补贴改革，支持耕地地力保护和粮食适度规模经营。,完善人员聘用和培训机制，提升农技推广人员素质，增强农技服务能力，鼓励与家庭农场、合作社、龙头企业开展技术合作。\完善家庭农场认定办法和名录制度，健全示范家庭农场评定机制，扶持规模适度的家庭农场。\完善家庭农场认定办法，扶持规模适度的家庭农场。
中共中央办公厅、国务院办公厅印发《关于加快构建政策体系培育新型农业经营主体的意见》,中共中央办公厅 国务院办公厅 机构沿革,2017.05, ,加快培育新型农业经营主体，加快形成以农户家庭经营为基础、合作与联合为纽带、社会化服务为支撑的立体式复合型现代农业经营体系，对于推进农业供给侧结构性改革、引领农业适度规模经营发展、带动农民就业增收、增强农业农村发展新动能具有十分重要的意义。\全面贯彻党的十八大和十八届三中、四中、五中、六中全会精神，深入贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，认真落实党中央、国务院决策部署，紧紧围绕统筹推进“五位一体”总体布局和协调推进“四个全面”战略布局，牢固树立和贯彻落实新发展理念，围绕帮助农民、提高农民、富裕农民，加快培育新型农业经营主体，综合运用多种政策工具，与农业产业政策结合、与脱贫攻坚政策结合，形成比较完备的政策扶持体系，引导新型农业经营主体提升规模经营水平、完善利益分享机制，更好发挥带动农民进入市场、增加收入、建设现代农业的引领作用。\支持发展规模适度的农户家庭农场和种养大户。\支持农业产业化龙头企业和农民合作社开展农产品加工流通和社会化服务，带动农户发展规模经营。\  （五）引导新型农业经营主体多路径提升规模经营水平。\鼓励农民按照依法自愿有偿原则，通过流转土地经营权，提升土地适度规模经营水平。\支持新型农业经营主体带动普通农户连片种植、规模饲养，并提供专业服务和生产托管等全程化服务，提升农业服务规模水平。\引导新型农业经营主体集群集聚发展，参与粮食生产功能区、重要农产品生产保护区、特色农产品优势区以及现代农业产业园、农业科技园、农业产业化示范基地等建设，促进农业专业化布局、规模化生产。\支持新型农业经营主体建设形成一批一村一品、一县一业等特色优势产业和乡村旅游基地，提高产业整体规模效益。\建立健全全国农业信贷担保体系，确保对从事粮食生产和农业适度规模经营的新型农业经营主体的农业信贷担保余额不得低于总担保规模的70%。\稳步推进农村承包土地经营权和农民住房财产权抵押贷款试点，探索开展粮食生产规模经营主体营销贷款和大型农机具融资租赁试点，积极推动厂房、生产大棚、渔船、大型农机具、农田水利设施产权抵押贷款和生产订单、农业保单融资。\在粮食主产省开展适度规模经营农户大灾保险试点，调整部分财政救灾资金予以支持，提高保险覆盖面和理赔标准。,支持发展规模适度的农户家庭农场和种养大户。\鼓励农户家庭农场使用规范的生产记录和财务收支记录，提升标准化生产和经营管理水平。\深入推进示范家庭农场、农民合作社示范社、农业产业化示范基地、农业示范服务组织、一村一品示范村镇创建，发挥示范带动作用。\支持龙头企业为其带动的农户、家庭农场和农民合作社提供贷款担保。\完善家庭农场认定办法，落实农民合作社年度报告公示制度，开展重点龙头企业运行监测。
国务院办公厅关于积极推进供应链创新与应用的指导意见,国务院办公厅 机构沿革,2017.10.05,国办发〔2017〕84号,鼓励承包农户采用土地流转、股份合作、农业生产托管等方式融入农业供应链体系，完善利益联结机制，促进多种形式的农业适度规模经营，把农业生产引入现代农业发展轨道。,鼓励家庭农场、农民合作社、农业产业化龙头企业、农业社会化服务组织等合作建立集农产品生产、加工、流通和服务等于一体的农业供应链体系，发展种养加、产供销、内外贸一体化的现代农业。
农业部、国家发展改革委、财政部等关于促进农业产业化联合体发展的指导意见,农业部(已撤销) 国家发展和改革委员会(含原国家发展计划委员会、原国家计划委员会) 财政部 机构沿革,2017.10.13,农经发〔2017〕9号,  一、充分认识发展农业产业化联合体的重要意义  农业产业化联合体是龙头企业、农民合作社和家庭农场等新型农业经营主体以分工协作为前提，以规模经营为依托，以利益联结为纽带的一体化农业经营组织联盟。\各成员之间以及与普通农户之间建立稳定的利益联结机制，促进土地流转型、服务带动型等多种形式规模经营协调发展，提高产品质量和附加值，实现全产业链增值增效，让农民有更多获得感。\政府重点做好扶持引导，成熟一个发展一个，防止片面追求数量和规模。\按照依法自愿有偿原则，鼓励农户流转承包土地经营权，培育发展适度规模经营的家庭农场。\     五、健全资源要素共享机制，推动农业产业化联合体融通发展  （一）发展土地适度规模经营。\鼓励龙头企业将农资供应、技术培训、生产服务、贷款担保与订单相结合，全方位提升农民合作社和家庭农场适度规模经营水平。,  一、充分认识发展农业产业化联合体的重要意义  农业产业化联合体是龙头企业、农民合作社和家庭农场等新型农业经营主体以分工协作为前提，以规模经营为依托，以利益联结为纽带的一体化农业经营组织联盟。\通过“公司＋农民合作社＋家庭农场”组织模式，让各类新型农业经营主体发挥各自优势、分工协作，促进家庭经营、合作经营、企业经营协同发展，加快推进农业供给侧结构性改革。\通过提升农业产业价值链，完善利益联结机制，引导龙头企业、农民合作社和家庭农场紧密合作，示范带动普通农户共同发展，将其引入现代农业发展轨道，同步分享农业现代化成果。\以龙头企业为引领、农民合作社为纽带、家庭农场为基础，各成员具有明确的功能定位，实现优势互补、共同发展。\引导农业产业化联合体建立内部平等对话、沟通协商机制，兼顾农户、家庭农场、农民合作社、龙头企业等各方利益诉求，共商合作、共议发展、共创事业。\鼓励龙头企业强化供应链管理，制定农产品生产、服务和加工标准，示范引导农民合作社和家庭农场从事标准化生产。\引导龙头企业发挥产业组织优势，以“公司＋农民合作社＋家庭农场”“公司＋家庭农场”等形式，联手农民合作社、家庭农场组建农业产业化联合体，实行产加销一体化经营。\鼓励普通农户、家庭农场组建农民合作社，积极发展生产、供销、信用“三位一体”综合合作。\  （三）强化家庭农场生产能力，发挥其在农业产业化联合体中的基础作用。\按照依法自愿有偿原则，鼓励农户流转承包土地经营权，培育发展适度规模经营的家庭农场。\鼓励家庭农场使用规范的生产记录和财务收支记录，提高经营管理水平。\健全家庭农场管理服务，完善家庭农场名录制度，建立健全示范家庭农场认定办法。\鼓励家庭农场办理工商注册登记。\引导家庭农场与农民合作社、龙头企业开展产品对接、要素联结和服务衔接，实现节本增效。\鼓励农户以土地经营权入股家庭农场、农民合作社和龙头企业发展农业产业化经营。\支持家庭农场、农民合作社和龙头企业为农户提供代耕代种、统防统治、代收代烘等农业生产托管服务。\支持龙头企业发挥自身优势，为家庭农场和农民合作社发展农业生产经营，提供贷款担保、资金垫付等服务。\鼓励龙头企业提供技术指导、技术培训等服务，向农民合作社和家庭农场推广新品种、新技术、新工艺，提高农业产业化联合体协同创新水平。\引导农业产业化联合体增强品牌意识，鼓励龙头企业协助农民合作社和家庭农场开展“三品一标”认证。\鼓励龙头企业将农资供应、技术培训、生产服务、贷款担保与订单相结合，全方位提升农民合作社和家庭农场适度规模经营水平。\引导农民以土地经营权、林权、设施设备等入股家庭农场、农民合作社或龙头企业，采取“保底收入＋股份分红”的分配方式，让农民以股东身份获得收益。\地方可结合本地实际，将现有支持龙头企业、农民合作社、家庭农场发展的农村一二三产业融合、农业综合开发等相关项目资金，向农业产业化联合体内符合条件的新型农业经营主体适当倾斜。\组织开展精准培训，提高龙头企业负责人、合作社理事长、家庭农场主的经营管理水平。\指导开展村土地利用规划编制，年度建设用地计划优先支持龙头企业、农民合作社和家庭农场等新型农业经营主体建设农业配套辅助设施、开展农产品加工和流通。
中共中央、国务院关于深入推进农业供给侧结构性改革　加快培育农业农村发展新动能的若干意见,中国共产党中央委员会 国务院,2016.12.31,中发〔2017〕1号,2.发展规模高效养殖业。\全面振兴奶业，重点支持适度规模的家庭牧场，引导扩大生鲜乳消费，严格执行复原乳标识制度，培育国产优质品牌。\合理确定湖泊水库等内陆水域养殖规模，推动水产养殖减量增效。\     6.积极发展适度规模经营。\大力培育新型农业经营主体和服务主体，通过经营权流转、股份合作、代耕代种、土地托管等多种方式，加快发展土地流转型、服务带动型等多种形式规模经营。\完善家庭农场认定办法，扶持规模适度的家庭农场。\研究建立农业适度规模经营评价指标体系，引导规模经营健康发展。\以规模化种养基地为基础，依托农业产业化龙头企业带动，聚集现代生产要素，建设“生产＋加工＋科技”的现代农业产业园，发挥技术集成、产业融合、创业平台、核心辐射等功能作用。\大力推行高效生态循环的种养模式，加快畜禽粪便集中处理，推动规模化大型沼气健康发展。\     10.大规模实施农业节水工程。\大力实施区域规模化高效节水灌溉行动，集中建成一批高效节水灌溉工程。\全面推进大规模国土绿化行动。\实施主食加工业提升行动，积极推进传统主食工业化、规模化生产，大力发展方便食品、休闲食品、速冻食品、马铃薯主食产品。\科学确定粮食等重要农产品国家储备规模，优化中央储备粮品种结构和区域布局，改革完善中央储备粮管理体制，充分发挥政策性职能作用，严格政策性粮食监督管理，严防跑冒滴漏，确保储存安全。\进一步提高农业补贴政策的指向性和精准性，重点补主产区、适度规模经营、农民收入、绿色生态。\  让我们更加紧密团结在以习近平同志为核心的党中央周围，锐意进取，攻坚克难，扎实推进农业供给侧结构性改革，以优异成绩迎接党的十九大召开！       本篇引用的法规   中央法规   中华人民共和国农产品质量安全法   村庄和集镇规划建设管理条例   引用本篇的法规 案例 论文   部门规章   财政部办公厅关于进一步做好农村综合性改革试点试验工作的通知   财政部办公厅关于进一步做好国家级田园综合体建设试点工作的通知   商务部关于开展规模化集约化蚕桑示范基地建设推进茧丝绸产业提质增效的通知   农业部关于推进兽医社会化服务发展的指导意见   国家发展改革委、水利部关于开展大中型灌区农业节水综合示范工作的指导意见   国家林业局关于实施森林生态标志产品建设工程的通知   国家发展改革委、国家粮食局、财政部等关于切实做好2017年东北地区玉米和大豆收购工作的通知   商务部、农业部关于深化农商协作大力发展农产品电子商务的通知   更多  地方法规规章   鹤岗市人民政府办公室关于印发鹤岗市玉米和大豆生产者补贴工作实施方案的通知   烟台市人民政府印发关于加快推进品牌农业建设的意见关于加快推进现代农业产业园及田园综合体建设的意见的通知   昆明市人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见   黑龙江省人民政府办公厅关于推进全省现代农业产业园建设的实施意见   巴彦淖尔市人民政府办公室关于印发《关于开展田园综合体创建的实施方案》的通知   嘉峪关市人民政府办公室关于印发《嘉峪关市农产品品牌建设工作实施方案》的通知   湖南省粮食局办公室关于印发《湖南省粮食产后服务中心建设技术要点(试行)》和《湖南省粮食产后服务中心服务规范(试行)》的通知   包头市人民政府办公厅关于批转将农村牧区“房地一体”宅基地和集体建设用地使用权确权登记发证工作纳入不动产统一登记体系工作方案的通知   更多  案例与裁判文书   (2018)苏0583民初15108号     ©北大法宝：（www.pkulaw.com）专业提供法律信息、法学知识和法律软件领域各类解决方案。,完善家庭农场认定办法，扶持规模适度的家庭农场。\鼓励地方建立农科教产学研一体化农业技术推广联盟，支持农技推广人员与家庭农场、农民合作社、龙头企业开展技术合作。\支持家庭农场、农民合作社科学储粮。
农业部关于大力实施乡村振兴战略加快推进农业转型升级的意见,农业部(已撤销) 机构沿革,2018.01.18,农发〔2018〕1号,推进规模经营主体按标准规范生产，建立生产记录台账，并将其作为政策支持的重要条件，通过2-3年努力，在大城市郊区、“菜篮子”主产县基本实现农业生产标准化、可追溯。\启动动物疫病净化工作，逐步推动全国规模养殖场率先净化。\建设现代农业，要把提升效益放在优先位置，通过降低生产成本、促进一二三产业融合发展、拓展农业功能、推进适度规模经营等多种途径提高农业效益、增加农民收入。\     11.实施新型经营主体培育工程，促进多种形式适度规模经营发展。\鼓励新型经营主体通过土地流转、土地互换、土地入股等形式，扩大经营规模；支持各类服务组织开展土地托管、联耕联种、代耕代种、统防统治等直接面向农户的农业生产托管，扩大服务规模，集中连片推广绿色高效农业生产方式。\轮作休耕试点规模扩大到2400万亩。\继续推进生猪规模化标准化养殖，优化生产布局，引导产能向粮食主产区、环境容量大的地区转移。\加强畜禽规模养殖场直连直报平台建设，推广应用畜牧业生产经营单位代码。\推进确权成果应用，为适度规模经营、发放涉农补贴、土地经营权抵押贷款等提供支撑。,实施新型经营主体培育工程，培育发展示范家庭农场、合作社、龙头企业、社会化服务组织和农业产业化联合体，加快建设知识型、技能型、创新型农业经营者队伍。
农业部办公厅关于印发《2018年种植业工作要点》的通知,农业部(已撤销) 机构沿革,2018.01.18,农办农〔2018〕1号,以划定的“两区”为载体，按照集中连片、旱涝保收、稳产高产、生态友好的要求，大规模推进高标准农田建设，健全利益补偿机制，加大财政转移支付力度，提高“两区”物质装备水平，巩固提升核心产能。\扩大试点规模，轮作休耕试点面积扩大到2400万亩。\在果菜茶绿色高质高效创建县、果菜茶有机肥替代化肥示范县，建设100个果菜茶全程绿色标准化生产示范基地，加快推进规模经营主体按标生产，建立生产记录台账，示范区基本实现按标生产，发挥示范引领作用。\结合实施新型农业经营主体培育工程，加快培育种植大户、家庭农场、合作社、龙头企业、农业产业化联合体等新型经营主体，鼓励新型经营主体通过土地流转、土地互换、土地入股等形式，发展适度规模经营，推进规模化种植、标准化生产、产业化经营。,结合实施新型农业经营主体培育工程，加快培育种植大户、家庭农场、合作社、龙头企业、农业产业化联合体等新型经营主体，鼓励新型经营主体通过土地流转、土地互换、土地入股等形式，发展适度规模经营，推进规模化种植、标准化生产、产业化经营。
农业部办公厅关于印发《2018年农村经营管理工作要点》的通知,农业部(已撤销) 机构沿革,2018.02.08,农办经〔2018〕1号,要有效利用确权成果，加大应用推广，为适度规模经营、发放涉农补贴、土地承包权退出、土地经营权抵押贷款等提供支撑。\  二、推动新型农业经营主体高质量发展，加快构建现代农业经营体系  认真落实高质量发展要求，把加快培育新型经营主体作为一项重大战略，加大扶持力度，完善政策措施，提升发展质量，发展多种形式适度规模经营，推进家庭经营、集体经营、合作经营、企业经营共同发展、深度融合，促进小农户和现代农业发展有机衔接。\引导农户通过土地经营权流转，发展形成适度经营规模的家庭农场。\引导合作社采取合并重组等方式扩大经营规模。,6.扶持家庭农场健康发展。\引导农户通过土地经营权流转，发展形成适度经营规模的家庭农场。\组织实施中央财政农业生产发展项目，支持家庭农场规范流转土地、加强财务管理、开展农田基础设施建设、推进标准化生产。\完善家庭农场认定制度，健全名录管理，开展家庭农场精准管理服务试点。\做好家庭农场全面统计和生产经营情况典型监测，发布年度发展报告。\推动建立健全家庭农场财政、金融、用地等扶持政策。\鼓励各地创建示范家庭农场和行业协会。
国务院关于构建现代农业体系深化农业供给侧结构性改革工作情况的报告,国务院,2018.04.25, ,开展耕地质量保护与提升行动，大规模建设高标准农田。\实施振兴奶业苜蓿发展行动，支持32个奶牛养殖大县开展整县种养结合试点，奶牛规模养殖比重达到56%。\实施农业节水工程和区域规模化高效节水灌溉行动，2017年农田有效灌溉面积达到10.2亿亩。\  （七）培育新型农业经营主体，多种形式适度规模经营稳步发展。\我国2亿多农业经营户，户均耕地面积只有7亩多，仅相当于欧盟的1/40、美国的1/400，规模效应不明显，导致生产经营成本偏高，农产品国际竞争力偏弱。\近年来，国内外农产品价差拉大，部分大宗农产品进口规模不断扩大。\改革完善农业补贴制度，加快建立以绿色生态为导向的农业补贴制度，持续扩大“绿箱”规模。,中办、国办印发《关于加快构建政策体系培育新型农业经营主体的意见》，完善家庭农场认定办法和名录制度，推进农民合作社示范社创建，支持农业产业化联合体发展，建立新型农业经营主体信息直报平台，目前各类新主体总量超过300万家。\深入实施新型农业经营主体培育工程，构建政策支持体系，培育壮大家庭农场、农民合作社、龙头企业等新型农业经营主体。
农业农村部、财政部关于做好2018年农业生产发展等项目实施工作的通知,农业农村部 财政部 机构沿革,2018.05.04,农财发〔2018〕13号,大力培育新型职业农民和新型农业经营主体，发展农业适度规模经营，健全农业生产社会化服务体系，扶持带动小农户发展，加快农业转型升级。\     二、支持粮食适度规模经营。\主要开展三项工作：一是继续按照《财政部、农业部关于全面推开农业“三项补贴”改革工作的通知》（财农〔2016〕26号）有关要求执行，创新支持方式，发展多种形式的适度规模经营，不鼓励对新型农业经营主体采取现金直补。\优先支持农业信贷担保体系建设，省级财政部门、农业农村部门要按照《财政部、农业部、银监会关于做好全国农业信贷担保工作的通知》（财农〔2017〕40号）要求，做好省级农业信贷担保公司业务开展的指导工作，推进加快做大农业信贷担保贷款规模。\鼓励各地采取政府购买服务或先服务后补助等方式，根据当地小农户需要，支持发展多环节托管、关键环节托管和全程托管等模式，提升农业生产社会化服务的专业化、规模化水平。\补助对象为规模化草食家畜养殖场户或专业青贮饲料收贮合作社等新型农业经营主体。\继续支持非畜牧大县生猪等主要畜种规模养殖场畜禽粪污治理工作。\支持安徽、江西等8个省份实施南方现代草地畜牧业推进行动，以农牧业合作社和相关涉牧企业为实施主体，重点建设一批草地规模较大、养殖基础较好、发展优势较明显、示范带动能力强的牛羊肉生产基地。,各级农业农村、财政部门要建立项目执行定期调度督导机制，及时掌握项目执行和资金使用情况，对享受农民合作社、家庭农场、畜禽粪污资源化利用等补助政策的新型农业经营主体，应纳入新型农业经营主体信息直报系统管理。\三是支持家庭农场发展，鼓励其有序流转土地、健全管理制度、应用先进技术、加强基础设施建设、开展标准化生产、购买社会化服务等，推动发展省级示范家庭农场。\继续做好典型家庭农场发展监测工作。\通过以奖代补、先建后补等方式，重点支持种植大户、农民合作社、家庭农场等新型农业经营主体集中连片建设储藏、保鲜、烘干、净化、分级、包装等农产品产地初加工设施。
商务部关于推进农商互联助力乡村振兴的通知,商务部 机构沿革,2018.05.22,商建函〔2018〕204号,推进农商互联，发挥流通对生产的先导性作用，推动农业生产围绕市场需求，优化品种结构和产业布局，提升规模化、标准化和信息化水平，逐步形成具有较强竞争力的优势产业和品牌，推动农业走质量兴农之路，农业发展由总量扩张向质量提升转变，实现农业绿色化、优质化、特色化、品牌化，加快农业现代化进程。\发挥新型农业经营主体对农户的组织带动作用，组织农户通过土地流转、托管等各种方式开展适度规模经营，提高农业生产规模化、集约化、机械化水平。,农商互联的“农”主要包括农民合作社、农业产业化龙头企业、家庭农场等新型农业经营主体，“商”主要包括农产品批发市场、经营生鲜农产品的大型连锁超市及批发零售企业、农产品电商企业等农产品流通企业。
